Fuvar{taxi_id=1901, idotartam=840, indulas=2016-12-09 15:15:00, fizetes_modja=készpénz, tavolsag=0.0, viteldij=9.5, borravalo=0.0}
Fuvar{taxi_id=3469, idotartam=1500, indulas=2016-12-09 17:45:00, fizetes_modja=készpénz, tavolsag=2.0, viteldij=13.0, borravalo=0.0}
Fuvar{taxi_id=4710, idotartam=300, indulas=2016-12-21 11:45:00, fizetes_modja=készpénz, tavolsag=0.0, viteldij=5.0, borravalo=0.0}
Fuvar{taxi_id=3723, idotartam=540, indulas=2016-12-12 08:45:00, fizetes_modja=készpénz, tavolsag=1.0, viteldij=8.0, borravalo=0.0}
Fuvar{taxi_id=6054, idotartam=1800, indulas=2016-12-13 18:30:00, fizetes_modja=készpénz, tavolsag=3.0, viteldij=16.0, borravalo=0.0}
Fuvar{taxi_id=8565, idotartam=240, indulas=2016-12-30 17:30:00, fizetes_modja=készpénz, tavolsag=0.0, viteldij=5.25, borravalo=0.0}
Fuvar{taxi_id=920, idotartam=1500, indulas=2016-12-02 17:30:00, fizetes_modja=készpénz, tavolsag=1.0, viteldij=12.5, borravalo=0.0}
Fuvar{taxi_id=1098, idotartam=600, indulas=2016-12-04 15:45:00, fizetes_modja=készpénz, tavolsag=0.0, viteldij=9.5, borravalo=0.0}
Fuvar{taxi_id=3237, idotartam=240, indulas=2016-12-12 13:15:00, fizetes_modja=készpénz, tavolsag=0.0, viteldij=5.5, borravalo=0.0}
Fuvar{taxi_id=4593, idotartam=0, indulas=2016-12-15 20:45:00, fizetes_modja=készpénz, tavolsag=0.0, viteldij=3.25, borravalo=0.0}
Fuvar{taxi_id=4870, idotartam=120, indulas=2016-12-13 20:15:00, fizetes_modja=készpénz, tavolsag=0.0, viteldij=3.75, borravalo=0.0}
Fuvar{taxi_id=2329, idotartam=600, indulas=2016-12-18 11:45:00, fizetes_modja=készpénz, tavolsag=0.0, viteldij=8.75, borravalo=0.0}
Fuvar{taxi_id=3573, idotartam=180, indulas=2016-12-18 15:15:00, fizetes_modja=készpénz, tavolsag=0.0, viteldij=5.0, borravalo=0.0}
Fuvar{taxi_id=2186, idotartam=480, indulas=2016-12-15 21:15:00, fizetes_modja=készpénz, tavolsag=1.0, viteldij=7.5, borravalo=0.0}
Fuvar{taxi_id=5548, idotartam=540, indulas=2016-12-16 09:00:00, fizetes_modja=készpénz, tavolsag=2.0, viteldij=9.0, borravalo=0.0}
Fuvar{taxi_id=1944, idotartam=420, indulas=2016-12-20 19:15:00, fizetes_modja=készpénz, tavolsag=1.0, viteldij=6.5, borravalo=0.0}
Fuvar{taxi_id=5619, idotartam=420, indulas=2016-12-13 17:45:00, fizetes_modja=készpénz, tavolsag=0.0, viteldij=6.0, borravalo=0.0}
Fuvar{taxi_id=5178, idotartam=180, indulas=2016-12-01 22:15:00, fizetes_modja=készpénz, tavolsag=0.0, viteldij=5.25, borravalo=0.0}
Fuvar{taxi_id=6117, idotartam=1, indulas=2016-12-06 05:15:00, fizetes_modja=készpénz, tavolsag=0.0, viteldij=3.25, borravalo=0.0}
Fuvar{taxi_id=6923, idotartam=900, indulas=2016-12-02 19:45:00, fizetes_modja=készpénz, tavolsag=0.0, viteldij=9.25, borravalo=0.0}
Fuvar{taxi_id=7368, idotartam=240, indulas=2016-12-24 13:15:00, fizetes_modja=készpénz, tavolsag=0.0, viteldij=5.25, borravalo=0.0}
Fuvar{taxi_id=4443, idotartam=420, indulas=2016-12-13 14:45:00, fizetes_modja=készpénz, tavolsag=0.0, viteldij=6.25, borravalo=0.0}
Fuvar{taxi_id=3595, idotartam=360, indulas=2016-12-03 13:30:00, fizetes_modja=készpénz, tavolsag=0.0, viteldij=5.75, borravalo=0.0}
Fuvar{taxi_id=65, idotartam=1260, indulas=2016-12-24 16:30:00, fizetes_modja=készpénz, tavolsag=3.0, viteldij=13.5, borravalo=0.0}
Fuvar{taxi_id=2435, idotartam=180, indulas=2016-12-02 21:15:00, fizetes_modja=készpénz, tavolsag=0.0, viteldij=4.5, borravalo=0.0}
Fuvar{taxi_id=109, idotartam=540, indulas=2016-12-14 19:00:00, fizetes_modja=készpénz, tavolsag=0.0, viteldij=6.5, borravalo=0.0}
